gate_V,drain_TotalCurrent_A
0.0,-1.9686518e-16
-0.005,3.2387644000000005e-16
-0.01,-1.9320932e-17
-0.015,-6.4295610999999995e-18
-0.02,1.1498503e-16
-0.025,7.6315202e-17
-0.03,-2.0057483000000002e-16
-0.035,4.2442534000000003e-16
-0.04,4.4267948e-16
-0.045,-1.5245735000000002e-16
-0.05,-1.0422797e-17
-0.055,1.7876551e-17
-0.06,5.8656254e-17
-0.065,-6.914010499999999e-18
-0.07,6.227962400000001e-16
-0.075,-2.5526061e-17
-0.08,1.0197798000000001e-16
-0.085,-1.241301e-16
-0.09,-3.2661864e-16
-0.095,2.6757721e-16
-0.1,-1.8317493000000003e-16
-0.105,-2.7517332000000004e-16
-0.11,6.257870500000001e-16
-0.115,4.537689800000001e-16
-0.12,-2.6350267e-16
-0.125,-2.6601774e-17
-0.13,5.359143200000001e-16
-0.135,-4.9083868e-16
-0.14,1.1453747000000002e-16
-0.145,-7.4640746e-17
-0.15,3.2282649e-16
-0.155,4.6480259e-16
-0.16,8.8310631e-17
-0.165,7.0013218e-17
-0.17,1.2903921000000002e-16
-0.175,-1.8823993000000002e-16
-0.18,-3.4198632000000003e-16
-0.185,1.8823608000000002e-16
-0.19,1.6987047000000003e-16
-0.195,6.491830300000001e-16
-0.2,2.4057801e-16
-0.205,-3.3753827e-16
-0.21,3.5192345000000003e-16
-0.215,-2.7728697e-16
-0.22,2.0979178000000003e-16
-0.225,1.6272678000000002e-16
-0.23,3.9003386000000004e-16
-0.235,4.5705425e-16
-0.24,2.3772651e-16
-0.245,-2.0667138e-16
-0.25,3.79604e-17
-0.255,3.0914133000000004e-16
-0.26,-5.481341e-16
-0.265,2.4507317000000003e-16
-0.27,-2.7825608e-17
-0.275,-1.6312363000000001e-16
-0.28,2.6059276e-16
-0.285,-7.4659711e-17
-0.29,2.7420814e-17
-0.295,1.4360309000000002e-16
-0.3,1.7152335000000001e-16
-0.305,3.3334547e-16
-0.31,-2.2185025999999998e-18
-0.315,9.7335861e-17
-0.32,2.4011802e-16
-0.325,1.6173051000000002e-16
-0.33,5.3989855e-16
-0.335,4.2303393e-17
-0.34,6.5243539e-16
-0.345,8.443676600000001e-16
-0.35,2.1833179000000001e-16
-0.355,4.0361223000000006e-16
-0.36,4.3148611000000005e-16
-0.365,7.871319700000001e-16
-0.37,2.6860595000000003e-16
-0.375,3.6673576000000004e-16
-0.38,3.9675955000000004e-16
-0.385,6.4414014e-16
-0.39,-1.029272e-16
-0.395,2.3361804e-16
-0.4,4.872724200000001e-16
-0.405,6.4529532e-16
-0.41,7.8135941e-16
-0.415,8.410917e-16
-0.42,6.2638448e-16
-0.425,7.216277200000001e-16
-0.43,1.234727e-16
-0.435,7.9475172e-16
-0.44,1.1656262e-15
-0.445,1.5314202e-15
-0.45,1.089244e-15
-0.455,1.1549379e-15
-0.46,1.5658545e-15
-0.465,1.2354722e-15
-0.47,1.4847875e-15
-0.475,1.111502e-15
-0.48,1.8087322e-15
-0.485,1.7138384e-15
-0.49,1.7803549e-15
-0.495,1.7395179e-15
-0.5,1.9201083e-15
-0.505,1.8901972e-15
-0.51,2.3542961e-15
-0.515,2.2213199e-15
-0.52,2.4479863e-15
-0.525,2.5222657e-15
-0.53,2.722153e-15
-0.535,3.1688601e-15
-0.54,3.1146104e-15
-0.545,2.501643e-15
-0.55,3.1145807e-15
-0.555,3.7420972e-15
-0.56,3.763328e-15
-0.565,3.6940219e-15
-0.57,3.9908169e-15
-0.575,4.2771972e-15
-0.58,4.249417e-15
-0.585,4.5414201e-15
-0.59,4.3603084e-15
-0.595,5.2236238e-15
-0.6,5.2935939e-15
-0.605,5.3826558e-15
-0.61,6.3628774e-15
-0.615,5.8334807e-15
-0.62,6.6282893e-15
-0.625,7.234106e-15
-0.63,6.9629192e-15
-0.635,7.791898e-15
-0.64,7.9454971e-15
-0.645,8.124903e-15
-0.65,8.665881e-15
-0.655,9.195786e-15
-0.66,9.8509478e-15
-0.665,1.022844e-14
-0.67,1.0846642e-14
-0.675,1.0729898e-14
-0.68,1.1980596e-14
-0.685,1.2350234e-14
-0.69,1.3070522e-14
-0.695,1.3178863e-14
-0.7,1.3777737e-14
